,county,state,lat,lon
1788,Ocean,New Jersey,39.885133286071415,-74.28090841268953
1804,Schenectady,New York,42.81813596361548,-74.05857311935986
1815,Wayne,North Carolina,35.363970438905106,-78.0039988867299
1834,Chester,Pennsylvania,39.97310346698168,-75.74847836323507
1835,Cumberland,Pennsylvania,40.16363445589757,-77.26553507336367
1842,Washington,Pennsylvania,40.18939985306828,-80.24823258199129
1885,Harrisonburg city,Virginia,38.43617151107404,-78.87351267016025
1976,Hartford,Connecticut,41.80640958006048,-72.73287561312513
1978,New Haven,Connecticut,41.41046457157572,-72.93216692554985
2007,Coweta,Georgia,33.353470349213886,-84.76335698849954
2070,Carroll,Maryland,39.56289121079433,-77.02254837669554
2075,Barnstable,Massachusetts,41.72418718714459,-70.29149072493901
2077,Bristol,Massachusetts,41.797453975835786,-71.11477021713962
2128,Mercer,New Jersey,40.28345210687791,-74.70175319247463
2140,Broome,New York,42.16025840828896,-75.8196242553319
2152,Tioga,New York,42.17034279292658,-76.30635340275853
2153,Tompkins,New York,42.4520353556339,-76.4736398340745
2156,Brunswick,North Carolina,34.07109551764617,-78.23760454448316
2159,Craven,North Carolina,35.12487271707718,-77.09389620204688
2161,Harnett,North Carolina,35.3686390393529,-78.86941812910828
2191,Allegheny,Pennsylvania,40.46883654009484,-79.98119702623994
2203,Beaufort,South Carolina,32.385559028787455,-80.73018313027478
2207,Lexington,South Carolina,33.90232939620947,-81.27220435108455
2250,Chesterfield,Virginia,37.37854122813904,-77.58696480143836
2258,Spotsylvania,Virginia,38.1850418253838,-77.65600857602631
2360,Baker,Florida,30.33110366123715,-82.28463195805557
2363,Citrus,Florida,28.849081421904508,-82.47864916174781
2386,Clarke,Georgia,33.951179188723614,-83.3673392291364
2387,Clayton,Georgia,33.54189323345039,-84.35764728816129
2391,Dougherty,Georgia,31.53346540941691,-84.21637106375796
2400,Newton,Georgia,33.555041404904266,-83.85019092935396
2461,Lincoln,Maine,44.06802802973987,-69.54415948049039
2464,Baltimore city,Maryland,39.30508795971726,-76.61444497638686
2468,Howard,Maryland,39.25073092591408,-76.93119133065956
2475,Hampden,Massachusetts,42.13510773256191,-72.63158869352391
2478,Plymouth,Massachusetts,41.950809023850354,-70.81129224364653
2524,Hillsborough,New Hampshire,42.9153416126458,-71.71608305837127
2546,Erie,New York,42.7639610485089,-78.73231819733367
2547,Greene,New York,42.27652222353223,-74.12272256671656
2550,Montgomery,New York,42.90230046457773,-74.43971743092428
2554,Putnam,New York,41.42667122168871,-73.749481819259
2573,Watauga,North Carolina,36.23110247549213,-81.69643877925358
2575,Wilson,North Carolina,35.70515252704314,-77.91867351474282
2611,Lehigh,Pennsylvania,40.61271437837152,-75.59232934905054
2612,Luzerne,Pennsylvania,41.17702870511125,-75.98901344648795
2620,Anderson,South Carolina,34.51910493049556,-82.63789118470318
2623,Greenville,South Carolina,34.894384685004994,-82.37071507855632
2624,Horry,South Carolina,33.92142486244512,-78.99656369550999
